DOI,Optimization Objectives,Authors,Title,Year,Visual/Structural features supported,Special features,Method Type,Layout Method fully described in paper,Domain,Description of layout algorithm,Evaluation,Constraints / Assumptions,Temporal Model,Checked By,Source,Venue
,"Compactness - limit whitespace, Crossings - pair crossings, Wiggles/Bends - wiggle count",Dustin L. Arendt,SVEN: An Alternative Storyline Framework for Dynamic Graph Visualization,2015,Labels - characters,,"Exact - Linear Programming, Heuristic - maximum independent set wiggle count, Pipeline",Yes,,Pipeline approach. Crossings are minimimized by modelling the storyline as a directed acyclic graph where each event corresponds to a node. Then graphvis is used to minimize crossings (probably sugiyama-style). Wiggle count is minimized heuristically by modelling the problem as maximum independent set. Linear programming is used for minimizing whitespace.,None,"Equidistant interaction characters, Interaction grouping","Discrete, Interaction duration, Non-persistent characters","Alex, Henry",Graph Drawing and Network Visualization,Graph Drawing and Network Visualization
,Crossings - pair crossings,"Irina Kostitsyna, Martin Nollenburg, Valentin Polishchuk, Andre Schulz, and Darren Strash",On Minimizing Crossings in Storyline Visualizations,2015,,,"Exact - FPT, Theory",Yes,,"Minimizing crossings: It is shown that if meetings only
consist of two entities and the meetings form a tree, a solution
with O(n log n) crossings can be computed, which is also a tight lower bound. Further, an FPT-
algorithm in the number of characters is given.

Also NP-completeness by a simple reduction from bipartite crossing number is hinted.",Theory paper,Interaction grouping,"Discrete, Interaction duration, Persistent characters","Alex, Henry",Graph Drawing and Network Visualization,Graph Drawing and Network Visualization
10.1109/BigData.2015.7363802,No proper definition,"Y. Zheng, and W. Wu, and H. Qu, and C. Ma, and L. M. Ni",Visual analysis of bi-directional movement behavior,2015,"Character groups, Multivariate data encoding",,Other,Yes,Movement data,"No layout description, but heuristic is mentioned. Two different storyline views are presented, but both are pretty far from what a real storyline is used for.",Expert interview,Interaction grouping,"Discrete, Persistent characters","Alex, Henry",IEEE,2015 IEEE International Conference on Big Data (Big Data)
10.1109/TVCG.2015.2392771,"Compactness - limit whitespace, Crossings - pair crossings, Wiggles/Bends - wiggle count","Y. Tanahashi, and C. -H. Hsueh, and K. -L. Ma",An Efficient Framework for Generating Storyline Visualizations from Streaming Data,2015,Labels - characters,"For streaming data, Slots","Exact - Linear Programming, Heuristic - Longest Common Subsequence wiggle count minimization, Heuristic - Sugiyama-like ordering, Heuristic - greedy, Heuristic - local search, Pipeline",Yes,Movies/Books,"Similar as in [Tanahashi, 2012] Pipeline approach. slots are used to as-
sign interaction sessions, as in [Tanahashi, 2012]. First, a greedy heuristic is
used to assign these slots such that there are few wiggles and
crossings. Then, crossings are minimized by greedily assign-
ing order from last timestep to the next for shared characters.
Non-shared are appended at the end. Wiggle count is min-
imized with longest common subsequence. Wiggle height is
minimized with quadratic programming, adapting [Storyflow, 2013]. At the
end a local search is used, to move location sessions between
slots. The authors claim that the layout process is for streaming data (where new timesteps may be added at the end). I am not sure though if the layout algorithm is majorly different from one that is not dealing with streaming data.","Benchmarks, Quantitative metrics (crossings etc)","Equidistant interaction characters, Interaction grouping, Minimum character separation","Discrete, Interaction duration, Non-persistent characters","Alex, Henry",IEEE,IEEE Transactions on Visualization and Computer Graphics
,"Crossings - pair crossings, Wiggles/Bends","Shejuti Silvia, Ronak Etemadpour, June Abbas, Sam Huskey and Chris Weaver",Visualizing Variation in Classical Text with Force Directed Storylines,2016,Labels - annotations,Interactions,Heuristic - force-based approach,Yes,Critical editions,"Layout algorithm based on Fruchtermann-Reingold force-directed. Different forces pull interactions together, force lines to be straight, and separate different interactions. It seems that the exact y-coordinates are computed afterwards, but the description for that is missing.",User study,Interaction grouping,"Discrete, Persistent characters","Alex, Henry",Snowballing,Workshop on visualization for the digital humanities 2016
,Crossings - pair crossings,"Martin Gronemann, Michael Junger, Frauke Liers, and Francesco Mambelli",Crossing Minimization in Storyline Visualization,2016,,,Exact - ILP,Yes,Movies/Books,"Exact algorithm for crossings minimization using ILP building on
a reduciton to max-cut.","Benchmarks, Quantitative metrics (crossings etc)",Interaction grouping,"Discrete, Interaction duration, Non-persistent characters","Alex, Henry",Graph Drawing and Network Visualization,Graph Drawing and Network Visualization
10.1109/CW.2016.43,"Compactness - limit whitespace, Crossings - pair crossings, Wiggles/Bends - wiggle count, Wiggles/Bends - wiggle height","L. Qiang, and C. Bingjie",StoryCake: A Hierarchical Plot Visualization Method for Storytelling in Polar Coordinates,2016,"Circular, Locations","Circular, Locations","Heuristic - Longest Common Subsequence wiggle count minimization, Heuristic - Sugiyama-like ordering, Pipeline",Yes,Movies/Books,"Uses storyflow:Pipeline approach. First crossings are minimzed with
sweep + barycenter heuristic. Then wiggle count is minimizes
with longest common subsequence. How wiggle height and
whitespace is minimized is impossible to parse.","Look at picture (paper says case study), User study",Interaction grouping,"Discrete, Interaction duration, Non-persistent characters","Alex, Henry",IEEE,2016 International Conference on Cyberworlds (CW)
,None,K. Osmakčić; K. Kocijan,Story of a 'Storyline Visualization' in High School Readings,2017,"Labels - annotations, Labels - characters, Locations",,None,Yes,Movies/Books,The paper uses storylines for conveying a story to children in school. A user study is carried out to see if the storyline helps understand the story.,User study,Interaction grouping,"Discrete, Non-persistent characters","Alex, Henry",Snowballing,"2017 40th International Convention on Information and Communication Technology, Electronics and Microelectronics (MIPRO)"
,"Crossings - pair crossings, Wiggles/Bends - wiggle count","Yuhua Liu, Hanfei Lin, Yitao Liang, Changbo Wang",An application of optimization method for storyline based on cluster analysis,2017,"Clustering, Labels - characters","Clustering, Interactions","Heuristic - Longest Common Subsequence wiggle count minimization, Heuristic - MDS, Heuristic - Sugiyama-like ordering, Pipeline",Yes,Movement data - sport,"First characters are partitioned into cluster based on 1D multidimensional scaling. The characters then by default (if they are in no interaction), are within their cluster. Interactions are then assigned to the clusters based on how many characters of the interaction are in the cluster. Then the storyflow algorithm is used: barycenter-like crossing minimization. Longest common subsequence wiggle count minimization. ",None,"Equidistant interaction characters, Interaction grouping, Minimum character separation","Discrete, Non-persistent characters","Alex, Henry",Snowballing,VINCI '17: Proceedings of the 10th International Symposium on Visual Information Communication and Interaction
,Crossings - block crossings,"Thomas C. van Dijk, Martin Fink, Norbert Fischer, Fabian Lipp, Peter Markfelder, Alexander Ravsky, Subhash Suri, and Alexander Wolff",Block Crossings in Storyline Visualizations,2017,,,"Approximation, Exact - FPT, Heuristic - greedy ordering, Theory",Yes,Movies/Books,"Minimization of block crossings, which are cross-
ings between two bundles of edges. They show poly for 0
block crossings, FPT in number of characters. Greedy al-
gorithm for meetings of size 2 which yields optimal solution
for 3 entities. Constant factor approximation for constant-size
meetings, where meetings cannot be repeated. Further, they also show NP-hardness of block crossing minimization. They also improve the FPT-algorithm for pair crossings parameterized by the number of characters. ","Benchmarks, Quantitative metrics (crossings etc), Theory paper",Interaction grouping,"Discrete, Persistent characters","Alex, Henry",Journal of Graph Algorithms and Applications,Journal of Graph Algorithms and Applications
,"Crossings - pair crossings, Wiggles/Bends - wiggle count, Wiggles/Bends - wiggle height",Theresa Froschl and Martin Nollenburg,Minimizing Wiggles in Storyline Visualizations,2017,,,"Exact - ILP, Exact - SAT",Yes,Movies/Books,"Character curve coordinates must adhere to matrix en-
tries. Exact minimization of crossings, wiggle count, wiggle
height. Multi-objective formulation with ILP and SAT","Benchmarks, Quantitative metrics (crossings etc)","Discrete coordinates, Interaction grouping","Discrete, Interaction duration, Non-persistent characters","Alex, Henry",Graph Drawing and Network Visualization,Graph Drawing and Network Visualization
,Crossings - block crossings,"Thomas C. van Dijk, Fabian Lipp(B) , Peter Markfelder,
and Alexander Wolff",Computing Storyline Visualizations with Few Block Crossings,2017,,,Exact - SAT,Yes,Movies/Books,Exact MaxSAT formulation for block crossingsy,"Benchmarks, Quantitative metrics (crossings etc)",Interaction grouping,"Discrete, Interaction duration, Non-persistent characters","Alex, Henry",Graph Drawing and Network Visualization,Graph Drawing and Network Visualization
10.1007/s00371-017-1409-2,"Compactness - limit whitespace, Crossings - pair crossings, Wiggles/Bends - wiggle count, Wiggles/Bends - wiggle height",Lu QiangChai BingjieZhang Haibo,Storytelling by the StoryCake visualization,2017,"Circular, Locations","Circular, Locations","Heuristic - Longest Common Subsequence wiggle count minimization, Heuristic - Sugiyama-like ordering, Pipeline",Yes,Movies/Books,Same as the other storycake paper,"Look at picture (paper says case study), User study",Interaction grouping,"Discrete, Interaction duration, Non-persistent characters","Alex, Henry",SpringerLink,The Visual Computer
10.1109/VAST.2017.8585487,"Compactness - limit whitespace, Crossings - pair crossings, Wiggles/Bends - wiggle count","D. Arendt, and M. Pirrung","The “y” of it Matters, Even for Storyline Visualization",2017,,,"Exact - Linear Programming, Heuristic - Sugiyama-like ordering, Heuristic - local search, Heuristic - maximum independent set wiggle count, Pipeline",Yes,Movement data,"The paper compares non-standard storyline (which does not fall within our definition) with standard storylines. The standard storyline algorithm: Crossings are mini-
mized by sweep + Median heuristic. Then a local search
swaps neighboring nodes. Wiggle count is minimized by
modelling as independent set (cannot use lcs because mul-
tiple in/out-edges) and heuristic for independent set is used.
Whitespace is reduced with linear programming.
For the case where entities are grouped into locations per
timesteps and locations have a fixed order: Single node per lo-
cation with edge-weighted directed graph. Greedy algorithm
is used.","Expert interview, User study",Interaction grouping,"Discrete, Non-persistent characters","Alex, Henry",IEEE,2017 IEEE Conference on Visual Analytics Science and Technology (VAST)
10.1007/s11192-018-2803-x,None,Qing PingChaomei Chen,LitStoryTeller+: an interactive system for multi-level scientific paper visual storytelling with a supportive text mining toolbox,2018,"Character groups, Labels - characters, Multivariate data encoding",,Other,Yes,Literature - keyword/topic interaction,Two different storyline visualizations. The first shows how topics evolve and interact over multiple research papers: The layout depends on topic frequencies in papers. The second visualizations shows interactions of keywords throughout the paper. No mention of how the layout is computed. The evaluation is weird. They show how how different questions can be answered by the visualization system.,Task scenario inspection,Interaction grouping,"Discrete, Non-persistent characters","Alex, Henry",SpringerLink,Scientometrics
10.1109/TVCG.2018.2816203,,"Y. Shi, and C. Bryan, and S. Bhamidipati, and Y. Zhao, and Y. Zhang, and K. -L. Ma",MeetingVis: Visual Narratives to Assist in Recalling Meeting Context and Content,2018,"Labels - annotations, Labels - characters",,None,Yes,Social - meetings,No layout algorithm mentioned,User study,Interaction grouping,"Discrete, Persistent characters","Alex, Henry",IEEE,IEEE Transactions on Visualization and Computer Graphics
10.20380/GI2018.05,Crossings - pair crossings,"Padia, Kalpesh, Bandara, Kaveen Herath, Healey, Christopher G.",Yarn: Generating Storyline Visualizations Using HTN Planning,2018,"Labels - characters, Multiple timeline encoding",Encoding multiple timelines,Heuristic - Sugiyama-like ordering,Yes,Hierarchical task networks,Barycenter heuristic for crossing minimization.,"Look at picture (paper says case study), Quantitative - only runtime",Interaction grouping,"Discrete, Non-persistent characters","Alex, Henry",ACM,Proceedings of the 44th Graphics Interface Conference
https://doi.org/10.1016/j.cag.2018.11.004,,"Kalpesh Padia, Kaveen Herath Bandara, Christopher G. Healey",A system for generating storyline visualizations using hierarchical task network planning,2019,,,,Yes,,Same as Yarn: Generating Storyline Visualizations Using HTN Planning,,,,"Alex, Henry",Science Direct,Computers & Graphics
10.1109/TVCG.2018.2864899,"Compactness - limit whitespace, Crossings - pair crossings, Wiggles/Bends - quadratic wiggle height, Wiggles/Bends - wiggle count","T. Tang, and S. Rubab, and J. Lai, and W. Cui, and L. Yu, and Y. Wu",iStoryline: Effective Convergence to Hand-drawn Storylines,2019,"Labels - characters, User annotations","Interactions, User-guided drawing tool","Exact - Linear Programming, Heuristic - Longest Common Subsequence wiggle count minimization, Heuristic - Sugiyama-like ordering, Pipeline",Yes,Movies/Books,"Interactive tool to assist storyline drawing. So interactions impose constraints on the layout process. In general, the storyflow algorithm is used. 

When constraints on character order are imposed, a heuristic from [Forster, 2005 is used] which essentially is an adaptation of the barycenter heuristic. 

Constraints can also say that character coordinates must behave in a specific way, which is encoded in the alignment (wiggle count, wiggle height, whitespace reduction) step.

Further interactions also change the alignment step.",Expert interview,"Equidistant interaction characters, Interaction grouping, Minimum character separation, User constraints","Discrete, Interaction duration, Non-persistent characters","Alex, Henry",IEEE,IEEE Transactions on Visualization and Computer Graphics
,"Compactness - limit whitespace, Crossings - block crossings, Wiggles/Bends","Emilio Di Giacomo , Walter Didimo , Giuseppe Liotta , Fabrizio Montecchiani , and Alessandra Tappini",Storyline Visualizations with Ubiquitous Actors,2020,Character trees,Character tree,"Exact - SAT, Heuristic - local search, Heuristic - other",Yes,Authorship network,"Entities are not a single path but a tree because they can
participate in multiple groups at a single point in time. The
trees are computed heuristically. Then the SAT approach of van Dijk et al. for
minimizing block crossings is applied. Then local search
is applied to further reduce crossings. Although wiggle and whitespace is also minimized, it is not described how.",Look at picture (paper says case study),"Allowing multiple memberships, Interaction grouping","Discrete, Interaction duration, Non-persistent characters","Alex, Henry",Graph Drawing and Network Visualization,Graph Drawing and Network Visualization
10.1109/ICoSTA48221.2020.1570614056,None,"Z. Abidin, and D. H. Widyantoro, and S. Akbar",A Survey on Visualization Techniques to Narrate Interpersonal Interactions between Sportsmen,2020,,Survey,None,Yes,Social - other,Survey paper on visualizations of “Interpersonal Interactions between Sportsmen”. Storylines are mentioned.,,,,"Alex, Henry",IEEE,2020 International Conference on Smart Technology and Applications (ICoSTA)
,,"Vanessa Peña-Araya, Tong Xue, and Anastasia Bezerianos",HyperStorylines: Interactively untangling dynamic hypergraphs,2021,,,,Yes,,See other version of this paper,,,,"Alex, Henry",Snowballing,Sage Journals
10.1007/s00371-019-01789-1,"Compactness - limit whitespace, Crossings - pair crossings, Wiggles/Bends - quadratic wiggle height, Wiggles/Bends - wiggle count",Qiang LuJing HuangQingyu ZhangXiaohui YuanJie Li,Evaluation on visualization methods of dynamic collaborative relationships for project management,2021,Labels - events,Comparison with other visualizations,"Exact - Linear Programming, Heuristic - Longest Common Subsequence wiggle count minimization, Heuristic - Sugiyama-like ordering, Pipeline",Yes,Project - by person,Study on comparing different project visualizations. The storyflow algorithm is used.,User study,"Equidistant interaction characters, Interaction grouping, Minimum character separation","Discrete, Interaction duration, Persistent characters","Alex, Henry",SpringerLink,The Visual Computer
10.1177/14738716211045007,None,"Vanessa Peña-Araya, Tong Xue, Emmanuel Pietriga, Laurent Amsaleg, Anastasia Bezerianos",HyperStorylines: Interactively untangling dynamic hypergraphs,2021,Labels - characters,"Comparison with other visualizations, Interactions",Other,Yes,News Articles,"The visualization has different views on data. They have data that also contains locations, and the visualization can for example use the x-axis for locations and interactions for people being at the location at a specific time.

The only mention of layout computation is that they use d3.",User study,Interaction grouping,"Discrete, Non-persistent characters","Alex, Henry",Sage,Information Visualization
10.1109/TVCG.2020.3030467,"Compactness - limit whitespace, Crossings - pair crossings, Wiggles/Bends - quadratic wiggle height, Wiggles/Bends - wiggle count","T. Tang, and R. Li, and X. Wu, and S. Liu, and J. Knittel, and S. Koch, and T. Ertl, and L. Yu, and P. Ren, and Y. Wu",PlotThread: Creating Expressive Storyline Visualizations using Reinforcement Learning,2021,"Labels - characters, User annotations","Interactions, User-guided drawing tool","Exact - Linear Programming, Heuristic - AI, Heuristic - Longest Common Subsequence wiggle count minimization, Heuristic - Sugiyama-like ordering, Pipeline",Yes,Movies/Books,"This is an extension to istoryline, where reinforcement learn-
ing is used to compute storylines which adhere to constraints
that are obtained from interactions.
The initial layout is computed the same as istoryline. Then the user modifies the layout, and the AI agent can propose different variants of new layouts, and the user can choose one of them.
Also, a new set of interactions ins introduced.

The AI agent tries to predict what a user would do to change the layout from the initial layout and the user-adapted layout.","Expert interview, Quantitative - only runtime","Interaction grouping, User constraints","Discrete, Interaction duration, Non-persistent characters","Alex, Henry",IEEE,IEEE Transactions on Visualization and Computer Graphics
https://doi.org/10.1016/j.vrih.2022.08.008,"Compactness - limit whitespace, Crossings - pair crossings, Wiggles/Bends - quadratic wiggle height, Wiggles/Bends - wiggle count","Zhuo Shi, Mingrui Li, Meng Wang, Jing Shen, Wei Chen, Xiaonan Luo",NPIPVis: A visualization system involving NBA visual analysis and integrated learning model prediction,2022,"Labels - characters, User annotations","Interactions, User-guided drawing tool","Exact - Linear Programming, Heuristic - Longest Common Subsequence wiggle count minimization, Heuristic - Sugiyama-like ordering, Pipeline",Yes,Movement data - sport,"Sports data visualization based on storylines. The tool uses the istoryline library directly. The evaluation in the paper does not evaluate the visualization, but some sports prediction model.",Look at picture (paper says case study),"Interaction grouping, User constraints","Discrete, Non-persistent characters","Alex, Henry",Science Direct,Virtual Reality & Intelligent Hardware
,"Compactness - number of layers, Crossings - pair crossings","Alexander Dobler, Martin Nöllenburg, Daniel Stojanovic, Anaïs Villedieu, Jules Wulms",Crossing Minimization in Time Interval Storylines,2023,,Time intervals,"Exact - ILP, Heuristic - TSP meeting ordering, Heuristic - coloring meeting grouping",Yes,"Authorship network, Movies/Books","Time intervals group multiple meetings from a year to-
gether, they can be ordered arbitrarily to minimize crossings.
Exact ILP approaches and a pipeline: Coloring+TSP+ILP
from Gronemann.","Benchmarks, Quantitative metrics (crossings etc)","Flexible ordering of events, Interaction grouping","Discrete, Non-persistent characters","Alex, Henry",Snowballing,EuroCG 2023
,None,"Mariana Costa, Sérgio Nunes",NewsLines: Narrative Visualization of News Stories,2023,"Labels - characters, Labels - events",Interactions,Other,Yes,News Articles,The layout is done by the Narrative chart d3 engine (https://github.com/abcnews/d3-layout-narrative). It is not clear if this really optimizes something. Probably it uses some d3 tools which might optimize crossings.,Expert interview,Interaction grouping,"Discrete, Non-persistent characters","Alex, Henry",Snowballing,"CEUR Workshop Proceedings "
10.1007/978-3-031-28694-0_9,None,Emilio Di GiacomoBeniamino Di MartinoWalter DidimoAntonio EspositoGiuseppe LiottaFabrizio Montecchiani,Design of&#xa0;a&#xa0;Process and&#xa0;a&#xa0;Container-Based Cloud Architecture for&#xa0;the&#xa0;Automatic Generation of&#xa0;Storyline Visualizations,2023,,,None,Yes,Movies/Books,"This is no implementation but a design suggestion of a system that transforms text of e.g. a movie into a storyline. Classifications of labeling etc. does not make sense, because it has not been implemented.",,,,"Alex, Henry",SpringerLink,Advanced Information Networking and Applications
10.1109/TVCG.2022.3209480,None,"G. Hulstein, and V. Peña-Araya, and A. Bezerianos",Geo-Storylines: Integrating Maps into Storyline Visualizations,2023,"Labels - characters, Locations",Design study,None,Yes,"Movement data, Social - other",Design study on how to integrate spacial information into storyline visualizations. No layout algorithms.,User study,Interaction grouping,"Discrete, Persistent characters","Alex, Henry",IEEE,IEEE Transactions on Visualization and Computer Graphics
10.1145/3611058,None,"Wallner, G\{u}nter, Wang, Letian, Dormann, Claire",Visualizing the Spatio-Temporal Evolution of Gameplay using Storyline Visualization: A Study with League of Legends,2023,"Labels - annotations, Labels - events, Locations","Exclude - Categorization, Exclude - unclear, Locations",None,Yes,Movement data - games,Visualization of League of Legend games. It is essentially a categorization into regions of the map. The iStoryline framework is used to generate visualizations. But it does not really seem that aesthetic crteria have been optimized.,User study,Interaction grouping,"Discrete, Persistent characters","Alex, Henry",ACM,Proc. ACM Hum.-Comput. Interact.
,"Compactness - limit whitespace, Crossings - pair crossings, Wiggles/Bends - wiggle count",Zikun Deng; Shifu Chen; Tobias Schreck; Dazhen Deng; Tan Tang; Mingliang Xu,Visualizing Large-Scale Spatial Time Series with GeoChron,2024,,,"Heuristic - Longest Common Subsequence wiggle count minimization, Heuristic - Sugiyama-like ordering, Heuristic - greedy coordination, Heuristic - greedy ordering, Pipeline",Yes,Movement data,"The storyflow method is used for crossing and wiggle count minimization. But then, a new heuristic is used for computing coordinates by greedy sweeping from left to right and back. This is part of a large visualization system.","Benchmarks, Look at picture (paper says case study), Quantitative metrics (crossings etc), User study","Equidistant interaction characters, Interaction grouping, Minimum character separation","Discrete, Interaction duration, Non-persistent characters","Alex, Henry",Snowballing,IEEE Transactions on Visualization and Computer Graphics
,"Crossings - block crossings, Crossings - pair crossings",Tim Hegemann and Alexander Wolff,Storylines with a Protagonist,2024,,Protagonist,"Exact - Poly, Heuristic - greedy ordering, Heuristic - other",Yes,Authorship network,"Storylines with a character being in all meetings (protagonist). One-sided and two-sided storylines are considered: All characters are on one side of the protagonist or on both sides (but they must stay on that side). One-sided crossing minimization is shown to be poly, two-sided NP-hard. One- and two-sided block crossing minimization is shown to be NP-hard.","Benchmarks, Quantitative metrics (crossings etc)","Interaction grouping, Protagonist, Uncrossed protagonist","Discrete, Persistent characters","Alex, Henry",Graph Drawing and Network Visualization,Graph Drawing and Network Visualization
,Crossings - pair crossings,"Alexander Dobler, Michael Jünger, Paul J. Jünger, Julian Meffert, Petra mutzel, Martin Nöllenburg",Revisiting ILP Models for Exact Crossing Minimization in Storyline Drawings,2024,,,Exact - ILP,Yes,"Authorship network, Movies/Books",Improved ILP variants for crossing minimization. Some insights about optimal solutions that lead to now ILP models.,"Benchmarks, Quantitative metrics (crossings etc)",Interaction grouping,"Discrete, Non-persistent characters","Alex, Henry",Graph Drawing and Network Visualization,Graph Drawing and Network Visualization
https://doi.org/10.1016/j.is.2023.102283,,"Anton Yeshchenko, Jan Mendling",A survey of approaches for event sequence analysis and visualization,2024,,Survey,,Yes,,Survey of event sequence visualizations. Storylines are briefly mentioned.,,,,"Alex, Henry",Science Direct,Information Systems
